Towns,PD
Aghagallon,2940
Aghalee,2656
Ahoghill,3639
Annaghmore,1901
Annahilt,2595
Annalong,2197
Annsborough,1860
Antrim,1792
Ardboe,750
Ardglass,2096
Armagh,1436
Articlave,3367
Artigarvan,1282
Aughnacloy,1141
Ballinamallard,1114
Ballybogy,3896
Ballycarry,2008
Ballycastle,2201
Ballyclare,2009
Ballygalley,2173
Ballygawley,859
Ballygowan,3660
Ballyhalbert,2444
Ballyholland,3837
Ballykelly,2543
Ballymagorry,1345
Ballymartin,3063
Ballymena,1783
Ballymoney,2073
Ballynahinch,1552
Ballynure,3334
Ballyrobert,2715
Ballyronan,1637
Ballystrudder,3458
Ballywalter,3786
Balnamore,2709
Banbridge,2392
Bangor,3119
Holywell,758
Belfast City,3565
Bellaghy,2628
Bellanaleck,1120
Belleek,708
Bendooragh,3652
Beragh,919
Bessbrook,2544
Bleary,2017
Broughshane,2508
Bushmills,1401
Camlough,2200
Cargan,2514
Carnlough,2145
Carrickfergus,2287
Carrowdore,2339
Carryduff,2473
Castlecaulfield,933
Castledawson,2622
Castlederg,1623
Castlerock,2136
Castlewellan,3056
Clady,2601
Claudy,2170
Clogh Mills,3216
Clogher,962
Cloughey,2041
Coagh,1306
Coalisland,1421
Cogry / Kilbride,3731
Coleraine,1983
Comber,2592
Cookstown,1639
Craigavon,1705
Crawfordsburn,1522
Crossgar,2746
Crossmaglen,1906
Crumlin,4016
Cullybackey,2174
Culmore,2158
Cushendall,2316
Derry City,2450
Derrygonnelly,760
Derrylin,732
Derrymacash,2967
Dervock,2202
Doagh,2343
Dollingstown,2766
Donaghadee,2337
Donaghcloney,2517
Donaghmore,1256
Donemana,1008
Downpatrick,1625
Draperstown,1876
Dromara,2608
Dromore,2419
Drumaness,3180
Drumbeg,2354
Drumnacanvy,2002
Drumquin,1045
Dundrum,3327
Dungannon,1489
Dungiven,2400
Dunloy,2454
Ederney,789
Eglinton,3034
Enniskillen,1072
Feeny,2492
Fintona,708
Fivemiletown,924
Garvagh,1629
Gilford,1986
Glebe,2680
Glenarm,1060
Glenavy,2731
Glynn,1846
Greenisland,2734
Greyabbey,2990
Greysteel,2691
Groomsport,3015
Gulladuff,1900
Hamiltonsbawn,3829
Helen'S Bay,1857
Hillsborough And Culcavy,1848
Hilltown,2856
Holywood,1784
Irvinestown,1170
Keady,1560
Kells,3528
Kesh,1032
Kilkeel,2107
Killinchy,2365
Killough,2394
Killyleagh,3161
Killyman,1577
Kilrea,2054
Kinallen,2787
Kircubbin,3070
Larne,2035
Laurelvale,2148
Lawrencetown,2559
Lettershendoney,4215
Limavady,2641
Lisbellaw,1079
Lisburn City,2324
Lisnaskea,1050
Loughbrickland,1996
Lower Ballinderry,3896
Macosquin,2685
Maghaberry,3850
Maghera ,2071
Magherafelt,1854
Magheralin,2085
Maguiresbridge,1521
Markethill,1866
Maydown,4549
Mayobridge,3004
Meigh,2949
Castlereagh,3117
Lisburn,3462
Newtownabbey,2326
Milford,3300
Millisle,3279
Milltown,4099
Moira,2691
Moneymore,1760
Moneyreagh,3730
Moortown,1106
Moy,1673
Mullaghbane,2404
Newbuildings,2526
Newcastle,2290
Newmills,1099
Newry,1917
Newtownards,2474
Newtownbutler,1030
Newtownhamilton,1644
Newtownstewart,1497
Omagh Town,1199
Park,2550
Parkgate,2976
Pomeroy,1100
Portaferry,2694
Portavogie,2316
Portballintrae,1406
Portglenone,1894
Portrush,2511
Portstewart,2574
Poyntzpass,1581
Randalstown,2714
Rasharkin,2807
Rathfriland,2968
Ravernet,3303
Richhill,2737
Rosslea,677
Rostrevor,2606
Saintfield,2385
Scotch Street,2025
Seahill,1785
Sion Mills,1946
Stewartstown,1603
Stoneyford,3468
Strabane,2242
Strathfoyle,4069
Tandragee,2345
Templepatrick,2106
The Spa,1546
Tobermore,1410
Toome,1336
Upperlands,2159
Waringstown,2812
Burren,2446
Waterfoot,3415
Whitehead,3176